"Date","Open","High","Low","Close","Volume","Change"
1995-07-25,209.57,210.51,208.65,208.85,0,0.00957716803140496
1995-07-26,209.77,210.22,209.45,209.62,0,0.368685659564294
1995-07-27,208.12,209.54,207.81,209.13,0,-0.233756320961742
1995-07-28,208.9,209.14,207.58,207.66,0,-0.702912064266248
1995-07-31,207.45,207.89,206.93,207.89,0,0.110757969758257
1995-08-01,207.6,209.02,207.59,207.79,0,-0.0481023618259635
1995-08-02,208.37,210.92,208.33,210.26,0,1.18870012993888
1995-08-03,210.26,210.26,207.78,208.1,0,-1.0272995339104
1995-08-04,208.34,208.68,207.74,207.83,0,-0.129745314752516
1995-08-07,207.96,208.27,207.33,208.22,0,0.187653370543228
1995-08-08,208.57,209.43,208.35,208.59,0,0.177696666986837
1995-08-09,208.63,209.33,208.08,208.44,0,-0.0719114051488612
1995-08-10,208.4,208.79,207.95,208.15,0,-0.139128766071772
1995-08-11,207.61,209.23,207.52,208.29,0,0.0672591880855
1995-08-14,208.13,208.29,207.34,207.82,0,-0.225646934562385
1995-08-15,208.68,210.25,208.48,209.88,0,0.991242421326155
1995-08-16,210.66,210.85,209.07,209.12,0,-0.362111682866395
1995-08-17,209,209.41,208.25,208.39,0,-0.349081866870704
1995-08-18,208.87,210.08,208.7,209.44,0,0.5038629492778
1995-08-21,209.32,210.4,209.12,210.3,0,0.410618792971751
1995-08-22,210.45,211.15,210.35,210.57,0,0.128388017118386
1995-08-23,211.02,211.4,210.15,210.36,0,-0.0997293061689608
1995-08-24,210.35,211.47,210.11,210.78,0,0.199657729606373
1995-08-25,211.43,211.53,209.8,210.83,0,0.023721415694089
1995-08-28,210.3,210.48,209.09,209.38,0,-0.687757909215969
1995-08-29,209.28,209.28,207.54,207.81,0,-0.749832839812781
1995-08-30,208.07,208.82,207.94,208.44,0,0.303161541792973
1995-08-31,208.24,208.33,207.08,207.95,0,-0.235079639224722
1995-09-01,208.01,209.19,207.7,209.16,0,0.581870641981252
1995-09-04,209.2,210.73,208.94,210.71,0,0.741059475999251
1995-09-05,210.74,211.36,210.6,211.14,0,0.204071947226026
1995-09-06,211.81,212.92,211.68,212.47,0,0.629913801269311
1995-09-07,212.82,213.19,211.35,211.54,0,-0.437708853014551
1995-09-08,211.32,212.91,211.19,211.91,0,0.174907818852232
1995-09-11,211.61,212.29,211.39,212.1,0,0.0896607050162812
1995-09-12,212.24,212.76,211.84,212.37,0,0.127298444130131
1995-09-13,213.51,214.14,213.15,214.09,0,0.809907237368734
1995-09-14,214.49,214.67,213.85,214.21,0,0.0560511934233343
1995-09-15,214.38,215.31,213.75,214.51,0,0.14004948415105
1995-09-18,214.03,214.23,213.17,213.17,0,-0.624679502121117
1995-09-19,213.78,215.23,213.54,214.39,0,0.572313177276351
1995-09-20,215.07,216.31,213.94,214.17,0,-0.102616726526428
1995-09-21,213.46,214.62,213.21,213.79,0,-0.177429145071673
1995-09-22,212.93,213.2,210.53,210.95,0,-1.32840638009262
